file,satisfiable,total_time,calls,unit_props,literal_choices,max_depth,backtracks,conflicts,heuristic_time
puzzle_500.cnf,SATISFIABLE,0.003119945526123047,66,64,1,65,0,0,0.00017400000000000054
puzzle_28.cnf,SATISFIABLE,0.003227710723876953,66,64,1,65,0,0,0.00013400000000000217
puzzle_266.cnf,SATISFIABLE,0.0028438568115234375,66,64,1,65,0,0,0.00012999999999999817
puzzle_272.cnf,SATISFIABLE,0.0028388500213623047,66,64,1,65,0,0,0.00013599999999999723
puzzle_514.cnf,SATISFIABLE,0.0028030872344970703,66,64,1,65,0,0,0.00014300000000000423
puzzle_14.cnf,SATISFIABLE,0.002938985824584961,66,64,1,65,0,0,0.00013399999999999523
puzzle_528.cnf,SATISFIABLE,0.003481149673461914,66,64,1,65,0,0,0.00015300000000000036
puzzle_299.cnf,SATISFIABLE,0.0027892589569091797,66,64,1,65,0,0,0.00013200000000000017
puzzle_702.cnf,SATISFIABLE,0.002686023712158203,66,64,1,65,0,0,0.00011800000000000005
puzzle_716.cnf,SATISFIABLE,0.0027036666870117188,66,64,1,65,0,0,0.00013699999999999823
puzzle_919.cnf,SATISFIABLE,0.0026607513427734375,66,64,1,65,0,0,0.00011600000000000499
puzzle_925.cnf,SATISFIABLE,0.002891063690185547,66,64,1,65,0,0,0.00013900000000000023
puzzle_931.cnf,SATISFIABLE,0.002610921859741211,66,64,1,65,0,0,0.00011800000000000699
puzzle_110.cnf,SATISFIABLE,0.0035047531127929688,66,64,1,65,0,0,0.0001239999999999991
puzzle_676.cnf,SATISFIABLE,0.002719402313232422,66,64,1,65,0,0,0.00013299999999999423
puzzle_662.cnf,SATISFIABLE,0.002850770950317383,66,64,1,65,0,0,0.00013699999999999823
puzzle_104.cnf,SATISFIABLE,0.0026717185974121094,66,64,1,65,0,0,0.00013199999999999323
puzzle_892.cnf,SATISFIABLE,0.002686023712158203,66,64,1,65,0,0,0.0001250000000000001
puzzle_5.cnf,SATISFIABLE,0.0027091503143310547,66,64,1,65,0,0,0.00011600000000000499
puzzle_886.cnf,SATISFIABLE,0.0025849342346191406,66,64,1,65,0,0,0.0001239999999999991
puzzle_138.cnf,SATISFIABLE,0.002711772918701172,66,64,1,65,0,0,0.00011900000000000799
puzzle_879.cnf,SATISFIABLE,0.0035228729248046875,66,64,1,65,0,0,0.00013799999999999923
puzzle_689.cnf,SATISFIABLE,0.0025599002838134766,66,64,1,65,0,0,0.0001239999999999991
puzzle_851.cnf,SATISFIABLE,0.0026502609252929688,66,64,1,65,0,0,0.00011500000000000399
puzzle_845.cnf,SATISFIABLE,0.002593994140625,66,64,1,65,0,0,0.0001290000000000041
puzzle_474.cnf,SATISFIABLE,0.002713918685913086,66,64,1,65,0,0,0.00011600000000000499
puzzle_312.cnf,SATISFIABLE,0.0028460025787353516,66,64,1,65,0,0,0.00015199999999999936
puzzle_306.cnf,SATISFIABLE,0.002602815628051758,66,64,1,65,0,0,0.0001250000000000001
puzzle_460.cnf,SATISFIABLE,0.003287076950073242,66,64,1,65,0,0,0.00011400000000000299
puzzle_448.cnf,SATISFIABLE,0.002627134323120117,66,64,1,65,0,0,0.00013900000000000023
puzzle_449.cnf,SATISFIABLE,0.002634286880493164,66,64,1,65,0,0,0.00012499999999998623
puzzle_307.cnf,SATISFIABLE,0.0029349327087402344,66,64,1,65,0,0,0.00013099999999999223
puzzle_461.cnf,SATISFIABLE,0.002566814422607422,66,64,1,65,0,0,0.000123000000000012
puzzle_475.cnf,SATISFIABLE,0.0025899410247802734,66,64,1,65,0,0,0.00012499999999998623
puzzle_313.cnf,SATISFIABLE,0.0026831626892089844,66,64,1,65,0,0,0.00011700000000000599
puzzle_844.cnf,SATISFIABLE,0.0032618045806884766,66,64,1,65,0,0,0.00011699999999997823
puzzle_850.cnf,SATISFIABLE,0.0028181076049804688,66,64,1,65,0,0,0.000125000000000014
puzzle_688.cnf,SATISFIABLE,0.002752065658569336,66,64,1,65,0,0,0.00012000000000000899
puzzle_878.cnf,SATISFIABLE,0.0026798248291015625,66,64,1,65,0,0,0.00011599999999997723
puzzle_887.cnf,SATISFIABLE,0.0027780532836914062,66,64,1,65,0,0,0.00011500000000000399
puzzle_139.cnf,SATISFIABLE,0.00263214111328125,66,64,1,65,0,0,0.000124000000000013
puzzle_4.cnf,SATISFIABLE,0.002624034881591797,66,64,1,65,0,0,0.00012100000000000999
puzzle_893.cnf,SATISFIABLE,0.0033299922943115234,66,64,1,65,0,0,0.000124000000000013
puzzle_663.cnf,SATISFIABLE,0.002707958221435547,66,64,1,65,0,0,0.00012699999999998823
puzzle_105.cnf,SATISFIABLE,0.002649068832397461,66,64,1,65,0,0,0.00012399999999998523
puzzle_111.cnf,SATISFIABLE,0.002772092819213867,66,64,1,65,0,0,0.00011500000000000399
puzzle_677.cnf,SATISFIABLE,0.0026540756225585938,66,64,1,65,0,0,0.00012399999999998523
puzzle_930.cnf,SATISFIABLE,0.0028531551361083984,66,64,1,65,0,0,0.00013799999999999923
puzzle_924.cnf,SATISFIABLE,0.002646923065185547,66,64,1,65,0,0,0.00011700000000000599
puzzle_918.cnf,SATISFIABLE,0.0026841163635253906,66,64,1,65,0,0,0.000123000000000012
puzzle_717.cnf,SATISFIABLE,0.0032923221588134766,66,64,1,65,0,0,0.00011499999999997623
puzzle_703.cnf,SATISFIABLE,0.0026412010192871094,66,64,1,65,0,0,0.000123000000000012
puzzle_298.cnf,SATISFIABLE,0.002972126007080078,66,64,1,65,0,0,0.00013299999999999423
puzzle_529.cnf,SATISFIABLE,0.0026519298553466797,66,64,1,65,0,0,0.00013499999999999623
puzzle_15.cnf,SATISFIABLE,0.0026597976684570312,66,64,1,65,0,0,0.00013799999999999923
puzzle_273.cnf,SATISFIABLE,0.0025773048400878906,66,64,1,65,0,0,0.00012499999999998623
puzzle_515.cnf,SATISFIABLE,0.002582073211669922,66,64,1,65,0,0,0.00012100000000000999
puzzle_501.cnf,SATISFIABLE,0.0033991336822509766,66,64,1,65,0,0,0.000123000000000012
puzzle_267.cnf,SATISFIABLE,0.0026030540466308594,66,64,1,65,0,0,0.000125000000000014
puzzle_29.cnf,SATISFIABLE,0.002705812454223633,66,64,1,65,0,0,0.00012299999999998423
puzzle_517.cnf,SATISFIABLE,0.002670764923095703,66,64,1,65,0,0,0.000125000000000014
puzzle_271.cnf,SATISFIABLE,0.0026760101318359375,66,64,1,65,0,0,0.00012199999999998323
puzzle_265.cnf,SATISFIABLE,0.0028307437896728516,66,64,1,65,0,0,0.00012799999999998923
puzzle_503.cnf,SATISFIABLE,0.0027420520782470703,66,64,1,65,0,0,0.00012599999999998723
puzzle_259.cnf,SATISFIABLE,0.0032978057861328125,66,64,1,65,0,0,0.00011700000000000599
puzzle_17.cnf,SATISFIABLE,0.0026731491088867188,66,64,1,65,0,0,0.000125000000000014
puzzle_715.cnf,SATISFIABLE,0.00257110595703125,66,64,1,65,0,0,0.00013199999999999323
puzzle_701.cnf,SATISFIABLE,0.0028650760650634766,66,64,1,65,0,0,0.00012699999999998823
puzzle_729.cnf,SATISFIABLE,0.0027289390563964844,66,64,1,65,0,0,0.00011600000000000499
puzzle_932.cnf,SATISFIABLE,0.0026481151580810547,66,64,1,65,0,0,0.00012100000000000999
puzzle_926.cnf,SATISFIABLE,0.002529144287109375,66,64,1,65,0,0,0.00012499999999998623
puzzle_107.cnf,SATISFIABLE,0.002593994140625,66,64,1,65,0,0,0.00012300000000003974
puzzle_661.cnf,SATISFIABLE,0.003145933151245117,66,64,1,65,0,0,0.00011300000000002974
puzzle_675.cnf,SATISFIABLE,0.0027430057525634766,66,64,1,65,0,0,0.00014799999999998148
puzzle_113.cnf,SATISFIABLE,0.0025510787963867188,66,64,1,65,0,0,0.00012499999999998623
puzzle_885.cnf,SATISFIABLE,0.002593994140625,66,64,1,65,0,0,0.000124000000000013
puzzle_891.cnf,SATISFIABLE,0.0026960372924804688,66,64,1,65,0,0,0.00011699999999997823
puzzle_649.cnf,SATISFIABLE,0.0026438236236572266,66,64,1,65,0,0,0.00011499999999997623
puzzle_6.cnf,SATISFIABLE,0.0027959346771240234,66,64,1,65,0,0,0.00012299999999998423
puzzle_846.cnf,SATISFIABLE,0.0032219886779785156,66,64,1,65,0,0,0.000126000000000015
puzzle_852.cnf,SATISFIABLE,0.002624988555908203,66,64,1,65,0,0,0.00012299999999998423
puzzle_463.cnf,SATISFIABLE,0.0027189254760742188,66,64,1,65,0,0,0.00012299999999998423
